stratum,method,sources,S_minus_S_obs_MAE_2,S_wins,exact_signflip_p,LOSO_min,LOSO_max,not_correctable_at_this_budget_sources
real,plugin,8,0.0,0,1.0,0.0,0.0,
real,median,8,0.0,0,1.0,0.0,0.0,
real,design,8,-0.002130549724824428,6,0.7578125,-0.007383184669328525,-0.0003187410633688839,
real,mle,8,0.0011434792709477657,5,0.84375,-0.0028897612119230505,0.003260059517392004,
real,et,8,-0.00493914744064852,6,0.328125,-0.008596004251217334,-0.0024124237516813785,
surrogate,plugin,8,0.0,0,1.0,0.0,0.0,sp_hospital__pwt
surrogate,median,8,0.0,0,1.0,0.0,0.0,sp_hospital__pwt
surrogate,design,8,-0.009115567698308813,6,0.03125,-0.010430143490437863,-0.007216540373038886,sp_hospital__pwt
surrogate,mle,8,0.002233954980557729,2,0.53125,0.0005189957740429635,0.004910292014101833,sp_hospital__pwt
surrogate,et,8,-0.007013372464956043,6,0.09375,-0.008998763991910413,-0.00480884514084266,sp_hospital__pwt
synthetic,plugin,8,0.0,0,1.0,0.0,0.0,
synthetic,median,8,0.0,0,1.0,0.0,0.0,
synthetic,design,8,-0.007433356223427931,6,0.46875,-0.011094401579356762,-0.00012228497496149897,
synthetic,mle,8,-0.004070143246455967,4,0.609375,-0.006490195814726295,0.0013207630328297742,
synthetic,et,8,0.0004755911698795419,3,0.4453125,6.755844456663807e-05,0.0007889249554030995,
