arm,method,parents,planned_pairs,valid_pairs,AE_Delta_2,AE_Delta_2_MCSE,Delta_ProfileAE,Delta_ProfileAE_MCSE,signed_delta_error_2,signed_delta_error_2_MCSE,sign_agreement_2,sign_agreement_2_MCSE,descriptive_parent_delta_correlation
R,plugin,8,24,24,0.011542096670707163,0.0021657304014384903,0.011122894191803831,0.0011105644197039466,0.005252452291784856,0.003285695137788776,1.0,0.0,0.9990846010916552
R,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
R,extratrees_pooled,8,24,24,0.05103876245755761,0.0032808948073288543,0.03763047532909283,0.0012769352532344042,-0.022511589963826215,0.0033729128529086387,1.0,0.0,0.8887112724215209
R,extratrees_real_only,8,24,24,0.11900333358505158,0.0052716382172002165,0.11656176948381858,0.0032898864000535048,-0.11833169948562623,0.0052716382172002165,1.0,0.0,0.8464077433346331
R,primary_corrector,8,24,24,0.011542096670707163,0.0021657304014384903,0.011122894191803831,0.0011105644197039466,0.005252452291784856,0.003285695137788776,1.0,0.0,0.9990846010916552
S,plugin,8,24,24,0.012974297278193901,0.0027185009126869586,0.012015966765761218,0.0011183823595907977,-0.0009510802708578969,0.00369354598634726,1.0,0.0,0.9950054479376564
S,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
S,extratrees_pooled,8,24,24,0.05818454672955018,0.0026147825265987355,0.04109844208347007,0.0016276679352608618,-0.030950339422852635,0.003941610786771328,0.9166666666666666,0.041666666666666664,0.88380410270035
S,extratrees_real_only,8,24,24,0.13324293728697764,0.0021621503019455283,0.12642901668623932,0.0015697973768472862,-0.1331889320294776,0.0021631890243626836,1.0,0.0,0.7454230513066039
S,primary_corrector,8,24,24,0.01040381996168318,0.0023363169853063324,0.012130853955449487,0.0016798121818687973,-0.0002974323299671524,0.0031166761893228296,1.0,0.0,0.9969522238569503
H,plugin,8,24,24,0.08494828353539921,0.0025724186496065963,0.13365725276935064,0.0009766029418295408,-0.041079439839821166,0.00439508501109867,1.0,0.0,0.6169758865386287
H,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
H,extratrees_pooled,8,24,24,0.10964870612823596,0.006444847731422313,0.0828786571481447,0.0037117447895057567,-0.10964870612823596,0.006444847731422313,1.0,0.0,0.7432970970979887
H,extratrees_real_only,8,24,24,0.17741862900136446,0.004029096315995574,0.13105733416124093,0.002381814169449929,-0.17741862900136446,0.004029096315995574,0.9166666666666666,0.041666666666666664,0.5740477412620955
H,primary_corrector,8,24,24,0.07014461472738073,0.0035368243110020544,0.07877792172543878,0.002226330860328164,-0.005025391159195834,0.0076972157304900654,1.0,0.0,0.7754782135514651
B,plugin,8,24,24,0.14821785373328822,0.002683452904239158,0.16021534143819144,0.001190477010877523,-0.14821785373328822,0.002683452904239158,1.0,0.0,0.7309503001152817
B,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
B,extratrees_pooled,8,24,24,0.06730297556910317,0.00465667014368655,0.08531323808412047,0.0019211565000397401,-0.05951238927195954,0.006437719124793737,0.875,0.0,0.8404678375946006
B,extratrees_real_only,8,24,24,0.11048678870756765,0.0030522094503035078,0.11500761394856204,0.0013332712751680427,-0.11048678870756765,0.0030522094503035078,1.0,0.0,0.7658857620869639
B,primary_corrector,8,24,24,0.09519271528500825,0.012170247207547431,0.108969092414618,0.00452295493381484,-0.016747064386919357,0.017621538113333876,1.0,0.0,0.7137952873759122
